year,date_,time,race,sex,age,wound,location,point_x,point_y,fatal
2018,2018-08-09 00:00:00+00,,,M,,,2000 Block of Snyder Ave,-75.17924379,39.92560729,
2018,2018-01-01 00:00:00+00,18:38:00,B,M,41,Buttocks,2000 BLOCK MCKEAN ST,-75.17952445,39.92686907,0
2023,2023-10-12 00:00:00+00,18:02:00,B,M,58,Stomach,2700 BLOCK WINTON TERRACE,-75.19212177,39.92504815,0
2018,2018-01-01 00:00:00+00,18:38:00,B,M,41,Buttocks,2000 BLOCK MCKEAN ST,-75.17952445,39.92686907,0
2018,2018-01-21 00:00:00+00,01:17:00,B,M,45,Head,2500 BLOCK S 24th St,-75.18756206,39.92131149,0
2018,2018-02-15 00:00:00+00,18:17:00,B,M,17,Multiple,2100 BLOCK Point Breeze Ave,-75.1899903,39.92690583,0
2021,2021-09-24 00:00:00+00,20:55:00,B,M,14,Head,2100 BLOCK S 24TH ST,-75.18653507,39.92587113,0
2018,2018-02-15 00:00:00+00,18:17:00,B,M,18,Leg,2100 BLOCK Point Breeze Ave,-75.1899903,39.92690583,0
2018,2018-02-14 00:00:00+00,20:30:00,B,M,18,Leg,2800 BLOCK Snyder Ave,-75.19272491,39.92729619,0
2018,2018-04-19 00:00:00+00,21:58:00,B,M,35,Leg,2000 BLOCK S Beechwood St,-75.18196067,39.92713122,0
2018,2018-10-11 00:00:00+00,11:01:00,B,M,23,Multiple,2000 BLOCK S Beechwood St,-75.18196067,39.92713122,0
2022,2022-04-16 00:00:00+00,17:14:00,B,M,28,Multiple,2100 BLOCK S OPAL ST,-75.17874445,39.92540974,0
2022,2022-03-06 00:00:00+00,23:54:00,B,M,41,Hip,1800 BLOCK S 18TH ST,-75.17553259,39.92801579,0
2022,2022-10-05 00:00:00+00,15:45:00,B,M,41,Multiple,1900 BLOCK S 19TH ST,-75.17721766,39.92769427,1
2021,2021-12-12 00:00:00+00,14:15:00,B,M,35,Multiple,2500 BLOCK RITNER ST,-75.18866715,39.92299223,0
2021,2021-09-13 00:00:00+00,23:20:00,B,M,35,Head,2600 BLOCK JACKSON ST,-75.18972269,39.92570242,0
2021,2021-04-29 00:00:00+00,20:40:00,B,M,35,Leg,1800 BLOCK S 21ST ST,-75.18063573,39.92848552,0
2024,2024-12-29 00:00:00+00,20:05:00,B,M,29,Arm,2700 BLOCK DALY TERR,-75.19169396,39.92421228,0
2022,2022-04-11 00:00:00+00,22:14:00,B,M,32,Leg,2200 BLOCK SNYDER AVE,-75.18403082,39.92616694,0
2016,2016-04-21 00:00:00+00,10:00:00,W,M,51,Leg,2500 BLOCK S 19th St,-75.17910678,39.92004236,0
2022,2022-02-15 00:00:00+00,,,M,,,2000 Block of S Beechwood St,-75.1819895,39.92719216,
2023,2023-09-10 00:00:00+00,03:23:00,B,M,39,Stomach,3100 BLOCK RICHMOND ST,-75.10168758,39.98290893,0
2024,2024-08-14 00:00:00+00,19:00:00,B,M,25,Multiple,1500 BLOCK SNYDER AVE,-75.17143691,39.92459557,1
2017,2017-01-13 00:00:00+00,02:01:00,B,M,33,Stomach,2300 BLOCK Bailey Terrace,-75.19015685,39.92381493,0
2017,2017-01-24 00:00:00+00,14:04:00,B,M,26,Leg,1900 BLOCK S 20th St,-75.17885033,39.92718068,0
2024,2024-01-28 00:00:00+00,22:53:00,B,M,38,Multiple,2100 BLOCK JACKSON ST,-75.18146237,39.92461934,0
2020,2020-10-08 00:00:00+00,15:12:00,B,M,19,Hip,2700 BLOCK WOLF ST,-75.19062127,39.92417926,0
2020,2020-07-29 00:00:00+00,13:45:00,B,M,22,Multiple/Head,1800 BLOCK S 21ST ST,-75.18045919,39.92888409,0
2023,2023-02-23 00:00:00+00,15:46:00,B,M,18,Ankle,2200 BLOCK S 27TH ST,-75.1914479,39.92520222,0
2021,2021-12-27 00:00:00+00,05:15:00,W,F,52,Head,2300 BLOCK S BOUVIER ST,-75.17643365,39.92169944,1
2018,2018-01-21 00:00:00+00,17:46:00,B,M,18,Shoulder,2600 BLOCK Snyder Ave,-75.19088603,39.92716184,0
2017,2017-10-10 00:00:00+00,22:59:00,B,M,32,Leg,1900 BLOCK S Bonsall St,-75.18453033,39.92847944,0
2020,2020-01-12 00:00:00+00,21:09:00,B,M,19,Multiple,2800 BLOCK Cantrell St,-75.19281303,39.92684965,0
2020,2020-03-30 00:00:00+00,01:11:00,B,M,20,Arm,2600 BLOCK PENROSE AVE,-75.1944559,39.90551209,0
2020,2020-03-30 00:00:00+00,01:11:00,B,F,25,Stomach,2600 BLOCK PENROSE AVE,-75.1944559,39.90551209,0
2017,2017-10-10 00:00:00+00,22:59:00,B,M,54,Leg,1900 BLOCK S Bonsall St,-75.18453033,39.92847944,0
2017,2017-10-10 00:00:00+00,22:59:00,W,M,64,Foot,1900 BLOCK S Bonsall St,-75.18453033,39.92847944,0
2020,2020-01-25 00:00:00+00,12:27:00,A,M,39,foot,1600 BLOCK Mifflin St,-75.17269552,39.9272686,0
2015,2015-04-09 00:00:00+00,16:13:00,B,M,22,Stomach,25th & Wolf St,-75.18838593,39.92423993,0
2018,2018-02-15 00:00:00+00,18:17:00,B,M,17,Leg,2100 BLOCK Point Breeze Ave,-75.1899903,39.92690583,0
2023,2023-03-24 00:00:00+00,23:03:00,B,M,28,Multiple,1700 BLOCK SNYDER AVE,-75.17495594,39.92487162,0
2022,2022-09-26 00:00:00+00,17:04:00,B,M,35,Chest,1800 BLOCK S RINGGOLD ST,-75.18581035,39.92989828,0
2018,2018-02-15 00:00:00+00,18:17:00,B,M,17,leg,2100 BLOCK Point Breeze Ave,-75.1899903,39.92690583,0
2022,2022-09-26 00:00:00+00,17:04:00,B,M,28,Head,1800 BLOCK S RINGGOLD ST,-75.18581035,39.92989828,0
